emp_no,first_name,last_name,birth_date,from_date,to_date,title
10007,Tzvetan,Zielinski,1957-05-23,1989-02-10,9999-01-01,Staff
10013,Eberhardt,Terkki,1963-06-07,1985-10-20,9999-01-01,Senior Staff
10038,Huan,Lortz,1960-07-20,1989-09-20,9999-01-01,Senior Staff
10039,Alejandro,Brender,1959-10-01,1988-01-19,9999-01-01,Senior Staff
10041,Uri,Lenart,1959-08-27,1989-11-12,9999-01-01,Senior Staff
10061,Tse,Herber,1962-10-19,1989-12-02,9999-01-01,Senior Staff
10068,Charlene,Brattka,1962-11-26,1987-08-07,9999-01-01,Senior Staff
10081,Zhongwei,Rosen,1960-12-17,1986-10-30,9999-01-01,Engineer
10083,Vishv,Zockler,1959-07-23,1987-03-31,9999-01-01,Engineer
10089,Sudharsan,Flasterstein,1963-03-21,1989-01-10,9999-01-01,Senior Staff
10099,Valter,Sullins,1956-05-25,1988-10-18,9999-01-01,Staff
10104,Xinyu,Warwick,1961-11-19,1987-04-16,9999-01-01,Senior Staff
10110,Xuejia,Ullian,1957-03-07,1986-08-22,9999-01-01,Staff
10111,Hugo,Rosis,1963-08-29,1988-12-19,9999-01-01,Senior Engineer
10121,Guoxiang,Ramsay,1962-07-14,1989-05-03,9999-01-01,Engineer
10128,Babette,Lamba,1958-02-15,1988-06-06,9999-01-01,Staff
10133,Giri,Isaak,1963-12-12,1985-12-15,9999-01-01,Senior Engineer
10137,Maren,Hutton,1959-07-30,1985-02-18,9999-01-01,Staff
10143,Sakthirel,Bakhtari,1961-07-16,1988-09-30,9999-01-01,Engineer
10147,Kazuhito,Encarnacion,1964-10-13,1987-12-18,9999-01-01,Staff
10158,Khedija,Mitsuhashi,1958-04-01,1987-06-04,9999-01-01,Engineer
10165,Miyeon,Macedo,1960-06-16,1988-05-17,9999-01-01,Senior Staff
10168,Dharmaraja,Stassinopoulos,1964-09-11,1986-12-06,9999-01-01,Senior Staff
10174,Badri,Furudate,1959-05-15,1987-06-01,9999-01-01,Engineer
10181,Sibyl,Nooteboom,1963-01-22,1988-06-22,9999-01-01,Senior Engineer
10185,Duro,Sidhu,1959-12-05,1986-03-01,9999-01-01,Staff
10188,Christ,Muchinsky,1956-07-13,1987-08-27,9999-01-01,Senior Engineer
10190,Arve,Fairtlough,1964-12-11,1986-06-23,9999-01-01,Engineer
10191,Zdislav,Nastansky,1959-04-08,1986-04-10,9999-01-01,Senior Engineer
10206,Alassane,Iwayama,1960-09-19,1988-04-19,9999-01-01,Technique Leader
10214,Tadahiko,Ciolek,1962-04-14,1988-02-29,9999-01-01,Senior Staff
10216,Amstein,Ghemri,1958-07-16,1987-10-30,9999-01-01,Staff
10222,Tze,Nourani,1962-09-21,1986-06-08,9999-01-01,Assistant Engineer
10241,Ortrud,Murillo,1958-07-01,1988-06-12,9999-01-01,Senior Staff
10242,Lunjin,Ozeri,1964-02-22,1988-01-18,9999-01-01,Engineer
10243,Wonhee,Pouyioutas,1960-12-22,1986-06-07,9999-01-01,Senior Staff
10256,Irene,Radhakrishnan,1960-12-02,1985-10-12,9999-01-01,Staff
10269,Taizo,Oxman,1959-10-07,1988-07-24,9999-01-01,Engineer
10271,Sham,Eastman,1962-04-24,1986-05-23,9999-01-01,Senior Engineer
10273,Baocai,Lieblein,1962-08-29,1985-11-06,9999-01-01,Staff
10275,Marek,Luck,1961-10-22,1987-09-08,9999-01-01,Senior Engineer
10277,Isaac,Schwartzbauer,1964-08-15,1985-06-16,9999-01-01,Senior Staff
10291,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Staff
10292,Yucel,Ghelli,1963-01-27,1989-06-05,9999-01-01,Staff
10296,Petter,Lorho,1964-05-13,1989-09-16,9999-01-01,Staff
10297,Narain,Oaver,1956-06-17,1986-05-28,9999-01-01,Engineer
10301,Lucien,Staudhammer,1962-08-26,1988-05-23,9999-01-01,Staff
10312,Rasiah,Deyuan,1957-06-18,1986-08-28,9999-01-01,Senior Engineer
10314,Christfried,Apsitis,1961-05-04,1986-01-16,9999-01-01,Senior Staff
10315,Maris,Angelopoulos,1956-08-03,1987-08-28,9999-01-01,Senior Engineer
10318,Mototsugu,Beilner,1958-08-27,1987-03-23,9999-01-01,Senior Engineer
10329,Remko,Shigei,1958-04-28,1986-01-20,9999-01-01,Technique Leader
10331,Arto,Binkley,1961-08-12,1986-10-29,9999-01-01,Senior Staff
10339,Teunis,Liedekerke,1957-08-27,1989-11-30,9999-01-01,Senior Engineer
10342,Stella,Hiroyama,1960-03-17,1987-07-25,9999-01-01,Engineer
10361,Seshu,Sidou,1961-04-22,1986-10-23,9999-01-01,Staff
10371,Ioana,Kirkerud,1959-02-10,1989-11-28,9999-01-01,Engineer
10380,Alejandro,Kamble,1956-05-25,1985-03-19,9999-01-01,Senior Staff
10384,Feiyu,Luft,1956-08-22,1986-01-16,9999-01-01,Staff
10386,Eishiro,Miyakawa,1956-11-09,1985-08-02,9999-01-01,Senior Engineer
10390,Wanqing,Bratten,1960-03-07,1989-05-17,9999-01-01,Technique Leader
10393,Yagil,DasSarma,1958-03-24,1989-06-23,9999-01-01,Senior Engineer
10411,Lidong,Klerer,1956-07-10,1989-09-02,9999-01-01,Senior Staff
10416,Uli,Keustermans,1956-05-26,1989-03-24,9999-01-01,Staff
10424,Babette,Straney,1959-08-17,1989-08-07,9999-01-01,Senior Engineer
10431,Patricio,Bugrara,1961-05-25,1987-10-08,9999-01-01,Staff
10436,Yahiko,Lammel,1963-06-17,1988-01-30,9999-01-01,Senior Staff
10441,Adel,Perfilyeva,1958-04-27,1988-07-12,9999-01-01,Engineer
10445,Junichi,Kavanagh,1957-01-10,1987-11-04,9999-01-01,Engineer
10454,Wonhee,Badr,1961-01-22,1989-04-16,9999-01-01,Senior Staff
10461,Gal,Karcich,1956-10-26,1987-08-03,9999-01-01,Staff
10470,Peternela,Iwayama,1956-04-12,1989-09-19,9999-01-01,Senior Engineer
10474,Kenton,Garnham,1962-02-24,1987-02-21,9999-01-01,Senior Engineer
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Staff
10481,Yongmao,Pintelas,1959-10-18,1989-10-03,9999-01-01,Engineer
10492,Lobel,Kumaresan,1957-04-03,1988-04-29,9999-01-01,Engineer
10495,Anyuan,Zhiwei,1961-05-24,1989-09-24,9999-01-01,Technique Leader
10501,Susuma,Larfeldt,1962-09-09,1988-09-08,9999-01-01,Engineer
10516,Xiadong,Luga,1960-02-20,1985-10-19,9999-01-01,Senior Engineer
10521,Kwangsub,Setia,1957-07-31,1989-05-11,9999-01-01,Staff
10523,Malu,Skafidas,1956-05-16,1989-12-23,9999-01-01,Senior Engineer
10524,Shigehiro,Cincotta,1959-05-02,1985-10-09,9999-01-01,Engineer
10526,Kwangho,Theuretzbacher,1963-12-31,1988-02-27,9999-01-01,Engineer
10530,Boriana,Coors,1956-07-19,1987-09-23,9999-01-01,Engineer
10532,Mary,Wossner,1959-08-31,1986-05-18,9999-01-01,Senior Staff
10536,Yechiam,Sambasivam,1964-10-29,1988-10-07,9999-01-01,Senior Staff
10550,Manton,Leuchs,1959-08-03,1985-02-03,9999-01-01,Engineer
10551,Jeong,Rijsenbrij,1963-10-07,1988-08-06,9999-01-01,Engineer
10569,Sreenivas,Bashian,1962-12-03,1987-03-13,9999-01-01,Senior Staff
10571,Fun,Varman,1963-12-10,1985-02-24,9999-01-01,Assistant Engineer
10572,Cordelia,Axelband,1960-10-10,1988-02-16,9999-01-01,Engineer
10578,Shigeaki,Shanbhogue,1958-07-18,1989-11-24,9999-01-01,Senior Engineer
10584,Mana,Papastamatiou,1961-07-12,1986-02-17,9999-01-01,Engineer
10588,Shigeo,Dulay,1956-07-30,1988-07-25,9999-01-01,Engineer
10590,Yongqiao,Kalloufi,1963-10-01,1986-04-09,9999-01-01,Staff
10594,Kiyokazu,Whitcomb,1960-10-22,1988-04-02,9999-01-01,Engineer
10595,Giri,Undy,1964-12-10,1989-11-24,9999-01-01,Senior Engineer
10606,Toshiki,Marakhovsky,1964-03-04,1987-05-02,9999-01-01,Senior Engineer
10611,Karsten,Blokdijk,1964-05-11,1989-09-16,9999-01-01,Senior Engineer
10622,Turgut,Narlikar,1959-09-15,1989-05-15,9999-01-01,Senior Engineer
10643,Slavian,Keirsey,1957-07-25,1987-11-11,9999-01-01,Engineer
10645,Fumiyo,Esposito,1957-03-01,1988-03-01,9999-01-01,Senior Engineer
10648,Marlo,Ratnaker,1962-01-19,1988-02-16,9999-01-01,Senior Engineer
10656,Sanjay,Litzkow,1962-06-18,1988-06-21,9999-01-01,Engineer
10661,Ottavia,Giarratana,1956-04-07,1988-01-12,9999-01-01,Senior Staff
10664,Xumin,Peck,1962-06-02,1989-12-24,9999-01-01,Senior Engineer
10666,Zhonghua,Reeker,1964-10-03,1989-05-20,9999-01-01,Senior Staff
10670,Shunichi,McAffer,1962-04-23,1988-03-23,9999-01-01,Senior Staff
10678,Chriss,Gide,1958-08-21,1987-08-02,9999-01-01,Senior Engineer
10686,Avishai,Azadmanesh,1963-05-25,1987-05-17,9999-01-01,Senior Engineer
10688,Xiaopeng,Lanphier,1964-02-28,1986-04-13,9999-01-01,Senior Staff
10689,Satoru,Otillio,1958-09-13,1988-08-05,9999-01-01,Senior Staff
10691,Denny,Setia,1957-11-18,1989-09-17,9999-01-01,Technique Leader
10699,Hatim,Deverell,1964-02-02,1985-11-17,9999-01-01,Engineer
10701,Hyuncheol,Zolotykh,1961-09-30,1989-10-07,9999-01-01,Senior Staff
10709,Jiafu,Mateescu,1961-01-06,1988-02-21,9999-01-01,Senior Engineer
10716,Aiman,Constantine,1963-10-08,1987-08-12,9999-01-01,Senior Engineer
10728,Ugo,Maliniak,1958-11-17,1989-12-09,9999-01-01,Engineer
10729,Percy,Lorho,1961-05-24,1986-04-20,9999-01-01,Senior Engineer
10735,Morrie,Gewali,1964-09-12,1985-10-29,9999-01-01,Staff
10739,Gor,Iacovou,1961-02-11,1985-03-30,9999-01-01,Engineer
10754,Chenyi,Feinberg,1956-09-08,1988-01-11,9999-01-01,Senior Staff
10763,Giap,Bolsens,1962-04-15,1987-02-23,9999-01-01,Senior Engineer
10776,Mahmut,Skafidas,1958-01-27,1986-03-16,9999-01-01,Technique Leader
10779,Mori,Yavatkar,1961-07-09,1988-01-11,9999-01-01,Staff
10799,Gad,Griswold,1957-11-21,1989-03-01,9999-01-01,Engineer
10802,Masato,Setlzner,1960-10-27,1985-08-24,9999-01-01,Engineer
10805,Kerhong,Bernick,1959-09-12,1987-05-26,9999-01-01,Senior Staff
10809,Shim,Feldhoffer,1962-01-06,1988-02-25,9999-01-01,Senior Engineer
10822,Masaru,Passino,1956-08-02,1986-01-11,9999-01-01,Engineer
10832,Hidde,Bergere,1964-08-29,1986-10-11,9999-01-01,Senior Staff
10862,Zhenbing,Kadhim,1956-01-19,1985-07-23,9999-01-01,Senior Staff
10863,Byong,Bhattacharjee,1962-08-05,1985-12-25,9999-01-01,Senior Engineer
10864,Elliott,Spieker,1958-01-07,1986-09-25,9999-01-01,Senior Staff
10870,Shahid,Leppanen,1956-07-23,1988-01-13,9999-01-01,Senior Engineer
10875,Filipp,Suri,1958-10-27,1988-05-19,9999-01-01,Senior Engineer
10877,Subir,Biron,1964-09-11,1986-06-06,9999-01-01,Senior Staff
10889,Cheong,Coors,1956-06-21,1987-08-11,9999-01-01,Senior Staff
10893,Danil,Kropatsch,1960-01-30,1989-08-23,9999-01-01,Staff
10897,Arno,Kumaresan,1958-05-27,1986-04-09,9999-01-01,Staff
10903,Visit,Nyanchama,1958-06-04,1989-02-14,9999-01-01,Senior Staff
10907,JiYoung,Luks,1963-09-26,1988-12-25,9999-01-01,Staff
10908,Rajmohan,Koblick,1961-11-27,1986-04-05,9999-01-01,Staff
10910,Arco,Jervis,1958-11-11,1989-09-02,9999-01-01,Senior Staff
10911,Shay,Casley,1959-07-22,1988-06-25,9999-01-01,Senior Engineer
10938,Shaowei,Iisaku,1958-05-11,1985-09-24,9999-01-01,Senior Staff
10951,Marco,Iisaku,1962-01-20,1989-07-06,9999-01-01,Senior Staff
10953,Jahangir,Laventhal,1956-06-23,1987-02-12,9999-01-01,Senior Staff
10955,Urs,Danley,1959-02-24,1986-09-27,9999-01-01,Senior Staff
10958,Huican,Katalagarianos,1958-11-07,1988-11-27,9999-01-01,Engineer
10962,Naraig,Kugler,1956-08-23,1986-12-16,9999-01-01,Senior Staff
10968,Lakshmi,Kolinko,1961-03-19,1985-08-11,9999-01-01,Senior Staff
10972,Fumiko,Asser,1961-10-05,1987-06-06,9999-01-01,Engineer
10973,Valdiodio,Raczkowsky,1961-10-02,1989-03-05,9999-01-01,Engineer
10978,Huiqun,Bellone,1962-09-24,1985-05-18,9999-01-01,Engineer
10979,Elrique,Raney,1959-09-11,1986-01-27,9999-01-01,Engineer
10980,Filipp,Munawer,1963-11-10,1989-01-04,9999-01-01,Engineer
10982,Yishay,Decleir,1964-02-27,1989-11-11,9999-01-01,Senior Staff
10983,Somnath,Parascandalo,1961-08-09,1988-02-22,9999-01-01,Senior Engineer
11001,Baziley,Buchter,1956-04-16,1987-02-23,9999-01-01,Engineer
11003,Mariangiola,Gulla,1960-11-13,1987-05-24,9999-01-01,Engineer
11005,Byong,Douceur,1958-03-12,1989-07-27,9999-01-01,Technique Leader
11010,Jaques,Narwekar,1963-03-20,1986-12-18,9999-01-01,Staff
11016,Sibyl,Rajaraman,1957-05-25,1988-08-10,9999-01-01,Technique Leader
11020,Weiwu,Encarnacion,1957-03-18,1988-03-25,9999-01-01,Senior Engineer
11036,Muzhong,Greenaway,1962-09-04,1988-10-24,9999-01-01,Staff
11040,Cristinel,Denna,1961-11-07,1988-01-22,9999-01-01,Senior Staff
11058,Shigeaki,Cyre,1962-04-24,1985-06-07,9999-01-01,Senior Staff
11059,Shawna,Jarecki,1962-05-26,1986-11-17,9999-01-01,Engineer
